Currently enrolled students
Andrew Turner
Betty Torres
Brian Sanchez
Catherine Morgan
Charles Martin
Craig Jackson
Cynthia Jenkins
David Collins
Doris Howard
Elizabeth Green
Elizabeth Jones
Gerald Edwards
John Jenkins
Jonathan Baker
Joyce Rodriguez
Juan Cox
Judy Miller
Julie Perry
Kathleen Anderson
Linda Johnson
Lori Walker
Louis Gray
Louis Harris
Maria Kelly
Marilyn Phillips
Mark Russell
Martin Taylor
Mary Price
Nicholas Peterson
Peter Hall
Peter Young
Rachel Peterson
Rachel Rivera
Stephanie Watson
Tina Ward
